# Phase 6D all-campaign descriptor matrix
# exact executable SHA-256: 3b561269fb7ce4c281959f8f0db691cebf7cd36a04ad3594461b94290c5d3816
# exact PDB SHA-256: 702df42ef4d7e8f6ba39aee96b5c83780c3266a7e9a174f81db13c6934050ae6
# generated/reviewed: 2026-07-18 Asia/Shanghai
descriptor key	content group	page	control	rectangle	ordinal / event	transition kind	formatter / literal	exact relative	static windows	public evidence	status
md-conflict-03	Mission CD Conflict	19	1946	520,437,175,30	2 / 0x1B67	0x09	md_conflict%01i	Map\Campaign\md_conflict3.map	MD	L6D-G	CLOSED
md-bonus	Mission CD Bonus	4	1919	427,370,277,127	0 / 0x1B5F	0x0A	md_bonus (literal)	Map\Campaign\md_bonus.map	MD	L6D-G	CLOSED
mcd2-roman-01	New World (MCD2) Roman	6	1825	688,39,40,59	0 / 0x232A	0x11	mcd2_roman%01i	Map\Campaign\mcd2_roman1.map	MD2	L6D-G	CLOSED
mcd2-roman-02	New World (MCD2) Roman	6	1826	685,513,100,80	1 / 0x232A	0x11	mcd2_roman%01i	Map\Campaign\mcd2_roman2.map	MD2	L6D-G	CLOSED
mcd2-roman-03	New World (MCD2) Roman	6	1827	711,278,28,25	2 / 0x232A	0x11	mcd2_roman%01i	Map\Campaign\mcd2_roman3.map	MD2	L6D-G	CLOSED
mcd2-roman-04	New World (MCD2) Roman	6	1828	475,275,28,25	3 / 0x232A	0x11	mcd2_roman%01i	Map\Campaign\mcd2_roman4.map	MD2	L6D-G	CLOSED
mcd2-roman-05	New World (MCD2) Roman	6	1829	437,288,28,25	4 / 0x232A	0x11	mcd2_roman%01i	Map\Campaign\mcd2_roman5.map	MD2	L6D-G	CLOSED
mcd2-viking-01	New World (MCD2) Viking	6	1830	335,288,28,25	0 / 0x232B	0x12	mcd2_viking%01i	Map\Campaign\mcd2_viking1.map	MD2	L6D-G	CLOSED
mcd2-viking-02	New World (MCD2) Viking	6	1831	248,268,28,25	1 / 0x232B	0x12	mcd2_viking%01i	Map\Campaign\mcd2_viking2.map	MD2	L6D-G	CLOSED
mcd2-viking-03	New World (MCD2) Viking	6	1832	277,145,28,25	2 / 0x232B	0x12	mcd2_viking%01i	Map\Campaign\mcd2_viking3.map	MD2	L6D-G	CLOSED
mcd2-viking-04	New World (MCD2) Viking	6	1833	429,218,28,25	3 / 0x232B	0x12	mcd2_viking%01i	Map\Campaign\mcd2_viking4.map	MD2	L6D-G	CLOSED
mcd2-viking-05	New World (MCD2) Viking	6	1834	255,203,28,25	4 / 0x232B	0x12	mcd2_viking%01i	Map\Campaign\mcd2_viking5.map	MD2	L6D-G	CLOSED
mcd2-mayan-01	New World (MCD2) Mayan	6	1835	194,147,28,25	0 / 0x232C	0x13	mcd2_maya%01i	Map\Campaign\mcd2_maya1.map	MD2	L6D-G	CLOSED
mcd2-mayan-02	New World (MCD2) Mayan	6	1836	178,183,28,25	1 / 0x232C	0x13	mcd2_maya%01i	Map\Campaign\mcd2_maya2.map	MD2	L6D-G	CLOSED
mcd2-mayan-03	New World (MCD2) Mayan	6	1837	703,246,28,25	2 / 0x232C	0x13	mcd2_maya%01i	Map\Campaign\mcd2_maya3.map	MD2	L6D-G	CLOSED
mcd2-mayan-04	New World (MCD2) Mayan	6	1838	400,244,28,25	3 / 0x232C	0x13	mcd2_maya%01i	Map\Campaign\mcd2_maya4.map	MD2	L6D-G	CLOSED
mcd2-mayan-05	New World (MCD2) Mayan	6	1839	83,352,28,25	4 / 0x232C	0x13	mcd2_maya%01i	Map\Campaign\mcd2_maya5.map	MD2	L6D-G	CLOSED
mcd2-trojan-01	New World (MCD2) Trojan	6	1840	129,420,28,25	0 / 0x232D	0x14	mcd2_trojan%01i	Map\Campaign\mcd2_trojan1.map	MD2	L6D-G	CLOSED
mcd2-trojan-02	New World (MCD2) Trojan	6	1841	337,454,28,25	1 / 0x232D	0x14	mcd2_trojan%01i	Map\Campaign\mcd2_trojan2.map	MD2	L6D-G	CLOSED
mcd2-trojan-03	New World (MCD2) Trojan	6	1842	134,333,28,25	2 / 0x232D	0x14	mcd2_trojan%01i	Map\Campaign\mcd2_trojan3.map	MD2	L6D-G	CLOSED
mcd2-trojan-04	New World (MCD2) Trojan	6	1843	444,392,28,25	3 / 0x232D	0x14	mcd2_trojan%01i	Map\Campaign\mcd2_trojan4.map	MD2	L6D-G	CLOSED
mcd2-trojan-05	New World (MCD2) Trojan	6	1844	676,339,28,25	4 / 0x232D	0x14	mcd2_trojan%01i	Map\Campaign\mcd2_trojan5.map	MD2	L6D-G	CLOSED
xmd3-roman-01	New World 2 (XMD3) Roman	6	2939	636,253,28,25	0 / 0x251E	0x15	xmd3_roman%01i	Map\Campaign\xmd3_roman1.map	XMD3	L6D-G	CLOSED
xmd3-roman-02	New World 2 (XMD3) Roman	6	2940	618,212,28,25	1 / 0x251E	0x15	xmd3_roman%01i	Map\Campaign\xmd3_roman2.map	XMD3	L6D-G	CLOSED
xmd3-roman-03	New World 2 (XMD3) Roman	6	2941	689,341,28,25	2 / 0x251E	0x15	xmd3_roman%01i	Map\Campaign\xmd3_roman3.map	XMD3	L6D-G	CLOSED
xmd3-roman-04	New World 2 (XMD3) Roman	6	2942	595,263,28,25	3 / 0x251E	0x15	xmd3_roman%01i	Map\Campaign\xmd3_roman4.map	XMD3	L6D-G	CLOSED
xmd3-viking-01	New World 2 (XMD3) Viking	6	2943	552,152,28,25	0 / 0x251F	0x16	xmd3_viking%01i	Map\Campaign\xmd3_viking1.map	XMD3	L6D-G	CLOSED
xmd3-viking-02	New World 2 (XMD3) Viking	6	2944	593,140,28,25	1 / 0x251F	0x16	xmd3_viking%01i	Map\Campaign\xmd3_viking2.map	XMD3	L6D-G	CLOSED
xmd3-viking-03	New World 2 (XMD3) Viking	6	2945	558,116,28,25	2 / 0x251F	0x16	xmd3_viking%01i	Map\Campaign\xmd3_viking3.map	XMD3	L6D-G	CLOSED
xmd3-viking-04	New World 2 (XMD3) Viking	6	2946	593,95,28,25	3 / 0x251F	0x16	xmd3_viking%01i	Map\Campaign\xmd3_viking4.map	XMD3	L6D-G	CLOSED
xmd3-trojan-01	New World 2 (XMD3) Trojan	6	2947	683,240,28,25	0 / 0x2521	0x18	xmd3_trojan%01i	Map\Campaign\xmd3_trojan1.map	XMD3	L6D-G	CLOSED
xmd3-trojan-02	New World 2 (XMD3) Trojan	6	2948	705,279,28,25	1 / 0x2521	0x18	xmd3_trojan%01i	Map\Campaign\xmd3_trojan2.map	XMD3	L6D-G	CLOSED
xmd3-trojan-03	New World 2 (XMD3) Trojan	6	2949	726,249,28,25	2 / 0x2521	0x18	xmd3_trojan%01i	Map\Campaign\xmd3_trojan3.map	XMD3	L6D-G	CLOSED
xmd3-trojan-04	New World 2 (XMD3) Trojan	6	2950	722,203,28,25	3 / 0x2521	0x18	xmd3_trojan%01i	Map\Campaign\xmd3_trojan4.map	XMD3	L6D-G	CLOSED
xmd3-mayan-01	New World 2 (XMD3) Mayan	6	2951	143,348,28,25	0 / 0x2520	0x17	xmd3_maya%01i	Map\Campaign\xmd3_maya1.map	XMD3	L6D-G	CLOSED
xmd3-mayan-02	New World 2 (XMD3) Mayan	6	2952	116,305,28,25	1 / 0x2520	0x17	xmd3_maya%01i	Map\Campaign\xmd3_maya2.map	XMD3	L6D-G	CLOSED
xmd3-mayan-03	New World 2 (XMD3) Mayan	6	2953	97,253,28,25	2 / 0x2520	0x17	xmd3_maya%01i	Map\Campaign\xmd3_maya3.map	XMD3	L6D-G	CLOSED
xmd3-mayan-04	New World 2 (XMD3) Mayan	6	2954	85,208,28,25	3 / 0x2520	0x17	xmd3_maya%01i	Map\Campaign\xmd3_maya4.map	XMD3	L6D-G	CLOSED
original-viking-01	Original Viking	20	2038	420,110,175,30	0 / 0x66	0x02	viking%02i	Map\Campaign\viking01.map	ORIG	L6D-G	CLOSED
original-viking-02	Original Viking	20	2039	420,150,175,30	1 / 0x66	0x02	viking%02i	Map\Campaign\viking02.map	ORIG	L6D-G	CLOSED
original-viking-03	Original Viking	20	2040	420,190,175,30	2 / 0x66	0x02	viking%02i	Map\Campaign\viking03.map	ORIG	L6D-G	CLOSED
original-mayan-01	Original Mayan	20	2041	170,390,175,30	0 / 0x66	0x03	maya%02i	Map\Campaign\maya01.map	ORIG	L6D-G	CLOSED
original-mayan-02	Original Mayan	20	2042	170,430,175,30	1 / 0x66	0x03	maya%02i	Map\Campaign\maya02.map	ORIG	L6D-G	CLOSED
original-mayan-03	Original Mayan	20	2043	170,470,175,30	2 / 0x66	0x03	maya%02i	Map\Campaign\maya03.map	ORIG	L6D-G	CLOSED
original-roman-01	Original Roman	20	2044	210,150,175,30	0 / 0x66	0x01	roman%02i	Map\Campaign\roman01.map	ORIG	L6D-G	CLOSED
original-roman-02	Original Roman	20	2045	210,190,175,30	1 / 0x66	0x01	roman%02i	Map\Campaign\roman02.map	ORIG	L6D-G	CLOSED
original-roman-03	Original Roman	20	2046	210,230,175,30	2 / 0x66	0x01	roman%02i	Map\Campaign\roman03.map	ORIG	L6D-G	CLOSED
dark-01	Dark Tribe	21	2081	500,104,175,30	0 / 0x64	0x04	dark%02i	Map\Campaign\dark01.map	DARK	L6D-G	CLOSED
dark-02	Dark Tribe	21	2082	500,136,175,30	1 / 0x64	0x04	dark%02i	Map\Campaign\dark02.map	DARK	L6D-G	CLOSED
dark-03	Dark Tribe	21	2083	500,168,175,30	2 / 0x64	0x04	dark%02i	Map\Campaign\dark03.map	DARK	L6D-G	CLOSED
dark-04	Dark Tribe	21	2084	500,200,175,30	3 / 0x64	0x04	dark%02i	Map\Campaign\dark04.map	DARK	L6D-G	CLOSED
dark-05	Dark Tribe	21	2085	500,232,175,30	4 / 0x64	0x04	dark%02i	Map\Campaign\dark05.map	DARK	L6D-G	CLOSED
dark-06	Dark Tribe	21	2086	500,264,175,30	5 / 0x64	0x04	dark%02i	Map\Campaign\dark06.map	DARK	L6D-G	CLOSED
dark-07	Dark Tribe	21	2087	500,296,175,30	6 / 0x64	0x04	dark%02i	Map\Campaign\dark07.map	DARK	L6D-G	CLOSED
dark-08	Dark Tribe	21	2088	500,328,175,30	7 / 0x64	0x04	dark%02i	Map\Campaign\dark08.map	DARK	L6D-G	CLOSED
dark-09	Dark Tribe	21	2089	500,360,175,30	8 / 0x64	0x04	dark%02i	Map\Campaign\dark09.map	DARK	L6D-G	CLOSED
dark-10	Dark Tribe	21	2090	500,392,175,30	9 / 0x64	0x04	dark%02i	Map\Campaign\dark10.map	DARK	L6D-G	CLOSED
dark-11	Dark Tribe	21	2091	500,424,175,30	10 / 0x64	0x04	dark%02i	Map\Campaign\dark11.map	DARK	L6D-G	CLOSED
dark-12	Dark Tribe	21	2092	500,456,175,30	11 / 0x64	0x04	dark%02i	Map\Campaign\dark12.map	DARK	L6D-G	CLOSED
